"county"	"party"	"votes"	"p"
"maryland,washington"	"Republican"	34169	0.00026400749484896
"maryland,wicomico"	"Republican"	21849	0.000168816756561647
"maryland,worcester"	"Republican"	15607	0.000120587812698871
"massachusetts,barnstable"	"Republican"	55694	0.000430320858617987
"massachusetts,berkshire"	"Republican"	14876	0.000114939725873544
"massachusetts,bristol"	"Republican"	90531	0.000699489669471486
"massachusetts,dukes"	"Republican"	2442	1.88681641962352e-05
"massachusetts,essex"	"Republican"	137129	0.00105953009339293
"massachusetts,franklin"	"Republican"	9545	7.37496426097728e-05
"massachusetts,hampden"	"Republican"	71350	0.000551287270844137
"massachusetts,hampshire"	"Republican"	20618	0.000159305409253881
"massachusetts,middlesex"	"Republican"	245766	0.00189891615145452
"massachusetts,nantucket"	"Republican"	1863	1.43945085575701e-05
"massachusetts,norfolk"	"Republican"	136841	0.00105730485535505
"massachusetts,plymouth"	"Republican"	112904	0.000872355123018731
"massachusetts,suffolk"	"Republican"	57194	0.000441910640065306
"massachusetts,worcester"	"Republican"	152101	0.0011752115652791
"michigan,alcona"	"Republican"	3404	2.63010773644491e-05
"michigan,alger"	"Republican"	2188	1.69056278711559e-05
"michigan,allegan"	"Republican"	30061	0.000232266946725236
"michigan,alpena"	"Republican"	7125	5.50514618747649e-05
"michigan,antrim"	"Republican"	7506	5.79952663623839e-05
"michigan,arenac"	"Republican"	3807	2.94148653132954e-05
"michigan,baraga"	"Republican"	1846	1.42631577011672e-05
"michigan,barry"	"Republican"	16431	0.000126954465973932
"michigan,bay"	"Republican"	23795	0.000183852566359303
"michigan,benzie"	"Republican"	4687	3.62142037623892e-05
"michigan,berrien"	"Republican"	36130	0.000279159202461089
"michigan,branch"	"Republican"	9534	7.36646508791591e-05
"michigan,calhoun"	"Republican"	28553	0.000220615353110198
"michigan,cass"	"Republican"	11114	8.58725540036684e-05
"michigan,charlevoix"	"Republican"	7306	5.6449962169408e-05
"michigan,cheboygan"	"Republican"	6920	5.34675250769647e-05
"michigan,chippewa"	"Republican"	8267	6.3875148816657e-05
"michigan,clare"	"Republican"	6793	5.2486256914425e-05
"michigan,clinton"	"Republican"	19726	0.000152413352553209
"michigan,crawford"	"Republican"	3561	2.75141411559351e-05
"michigan,delta"	"Republican"	8763	6.77075032152372e-05
"michigan,dickinson"	"Republican"	7049	5.44642462814341e-05
"michigan,eaton"	"Republican"	25900	0.000200116892990373
"michigan,emmet"	"Republican"	9314	7.19648162668857e-05
"michigan,genesee"	"Republican"	72451	0.000559794170426469
"michigan,gladwin"	"Republican"	6391	4.93801954865435e-05
"michigan,gogebic"	"Republican"	3330	2.5729314813048e-05
"michigan,grand traverse"	"Republican"	24716	0.000190968692167956
"michigan,gratiot"	"Republican"	8322	6.43001074697254e-05
"michigan,hillsdale"	"Republican"	11221	8.66992917469104e-05
"michigan,houghton"	"Republican"	8101	6.25925463364871e-05
"michigan,huron"	"Republican"	8434	6.51654778177919e-05
"michigan,ingham"	"Republican"	46483	0.000359151874010484
"michigan,ionia"	"Republican"	14156	0.000109376630778831
"michigan,iosco"	"Republican"	6583	5.08636875118003e-05
"michigan,iron"	"Republican"	2947	2.27700572834993e-05
"michigan,isabella"	"Republican"	11220	8.66915652259456e-05
"michigan,jackson"	"Republican"	35692	0.000275774986278471
"michigan,kalamazoo"	"Republican"	51554	0.000398333061823387
"michigan,kalkaska"	"Republican"	4527	3.49779604080085e-05
"michigan,kent"	"Republican"	148336	0.00114612121384633
"michigan,keweenaw"	"Republican"	756	5.84124984944874e-06
"michigan,lake"	"Republican"	2269	1.75314760693111e-05
"michigan,lapeer"	"Republican"	22831	0.000176404200149159
"michigan,leelanau"	"Republican"	6938	5.36066024543325e-05
"michigan,lenawee"	"Republican"	22225	0.000171721928444442
"michigan,livingston"	"Republican"	55592	0.000429532753479569
"michigan,luce"	"Republican"	1490	1.15125162376701e-05
"michigan,mackinac"	"Republican"	3268	2.52502705132255e-05
"michigan,macomb"	"Republican"	187663	0.00144998210383214
"michigan,manistee"	"Republican"	5510	4.25731305164849e-05
"michigan,marquette"	"Republican"	12906	9.9718479572732e-05
"michigan,mason"	"Republican"	7147	5.52214453359922e-05
"michigan,mecosta"	"Republican"	9238	7.13776006735548e-05
"michigan,menominee"	"Republican"	4855	3.75122592844889e-05
"michigan,midland"	"Republican"	22263	0.000172015536241108
"michigan,missaukee"	"Republican"	4469	3.45298221920455e-05
"michigan,monroe"	"Republican"	35858	0.000277057588758641
"michigan,montcalm"	"Republican"	13291	0.000102693190144211
"michigan,montmorency"	"Republican"	2841	2.1951046061222e-05
"michigan,muskegon"	"Republican"	29145	0.000225189453521407
"michigan,newaygo"	"Republican"	11862	9.16519916853981e-05
"michigan,oakland"	"Republican"	276956	0.00213990634034911
"michigan,oceana"	"Republican"	5860	4.52774128541926e-05
"michigan,ogemaw"	"Republican"	5133	3.96602321127254e-05
"michigan,ontonagon"	"Republican"	1823	1.40854477189749e-05
"michigan,osceola"	"Republican"	5973	4.6150509723224e-05
"michigan,oscoda"	"Republican"	2320	1.79255286385199e-05
"michigan,otsego"	"Republican"	6752	5.21694695548649e-05
"michigan,ottawa"	"Republican"	83330	0.00064385099200339
"michigan,presque isle"	"Republican"	3606	2.78618345993547e-05
"michigan,roscommon"	"Republican"	6727	5.1976306530743e-05
"michigan,saginaw"	"Republican"	42225	0.000326252347742028
"michigan,sanilac"	"Republican"	10679	8.25115173839459e-05
"michigan,schoolcraft"	"Republican"	2058	1.59011801457216e-05
"michigan,shiawassee"	"Republican"	16268	0.000125695043056656
"michigan,st clair"	"Republican"	38536	0.000297749211902588
"michigan,st joseph"	"Republican"	12886	9.95639491534345e-05
"michigan,tuscola"	"Republican"	13740	0.000106162398057441
"michigan,van buren"	"Republican"	15534	0.000120023776668435
"michigan,washtenaw"	"Republican"	53946	0.000416814899971378
"michigan,wayne"	"Republican"	219582	0.00169660492651012
"michigan,wexford"	"Republican"	8044	6.2152134641489e-05
"minnesota,aitkin"	"Republican"	4589	3.5457004707831e-05
"minnesota,anoka"	"Republican"	91357	0.000705871775788477
"minnesota,becker"	"Republican"	8851	6.83874370601465e-05
"minnesota,beltrami"	"Republican"	9762	7.54262976591516e-05
"minnesota,benton"	"Republican"	10338	7.9876773734922e-05
"minnesota,big stone"	"Republican"	1362	1.05235215541656e-05
"minnesota,blue earth"	"Republican"	14782	0.000114213432902846
"minnesota,brown"	"Republican"	7456	5.76089403141399e-05
"minnesota,carlton"	"Republican"	6549	5.06009857989944e-05
"minnesota,carver"	"Republican"	28156	0.000217547924287141
"minnesota,cass"	"Republican"	8660	6.69116715558546e-05
"minnesota,chippewa"	"Republican"	2907	2.24609964449041e-05
"minnesota,chisago"	"Republican"	15789	0.000121994039514479
"minnesota,clay"	"Republican"	11978	9.2548268117324e-05
"minnesota,clearwater"	"Republican"	2291	1.77014595305384e-05
"minnesota,cook"	"Republican"	1240	9.5808859964503e-06
"minnesota,cottonwood"	"Republican"	3157	2.43926266861239e-05
"minnesota,crow wing"	"Republican"	18567	0.000143458314754914
"minnesota,dakota"	"Republican"	104364	0.000806370633978662
"minnesota,dodge"	"Republican"	5468	4.22486166359599e-05
"minnesota,douglas"	"Republican"	11241	8.6853822166208e-05
"minnesota,faribault"	"Republican"	4196	3.24204819686335e-05
"minnesota,fillmore"	"Republican"	4993	3.85785191776423e-05
"minnesota,freeborn"	"Republican"	6955	5.37379533107354e-05
"minnesota,goodhue"	"Republican"	12775	9.8706305326333e-05
"minnesota,grant"	"Republican"	1646	1.27178535081913e-05
"minnesota,hennepin"	"Republican"	231054	0.00178524357501922
"minnesota,houston"	"Republican"	4743	3.66468889364224e-05
"minnesota,hubbard"	"Republican"	6558	5.06705244876783e-05
"minnesota,isanti"	"Republican"	11324	8.7495123406293e-05
"minnesota,itasca"	"Republican"	10309	7.96527046269405e-05
"minnesota,jackson"	"Republican"	2858	2.2082396917625e-05
"minnesota,kanabec"	"Republican"	4479	3.46070874016943e-05
"minnesota,kandiyohi"	"Republican"	11319	8.74564908014686e-05
"minnesota,kittson"	"Republican"	1016	7.85014530031735e-06
"minnesota,koochiching"	"Republican"	2962	2.28859550979724e-05
"minnesota,lac qui parle"	"Republican"	1912	1.47731080848492e-05
"minnesota,lake"	"Republican"	2636	2.03671092634218e-05
"minnesota,lake of the woods"	"Republican"	1278	9.87449379311572e-06
"minnesota,le sueur"	"Republican"	7636	5.89997140878182e-05
"minnesota,lincoln"	"Republican"	1491	1.1520242758635e-05
"minnesota,lyon"	"Republican"	6315	4.87929798932127e-05
"minnesota,mahnomen"	"Republican"	843	6.51345717339324e-06
"minnesota,marshall"	"Republican"	2285	1.76551004047492e-05
"minnesota,martin"	"Republican"	6053	4.67686314004143e-05
"minnesota,mcleod"	"Republican"	10993	8.4937644966918e-05
"minnesota,meeker"	"Republican"	6737	5.20535717403917e-05
"minnesota,mille lacs"	"Republican"	7049	5.44642462814341e-05
"minnesota,morrison"	"Republican"	9735	7.52176815930998e-05
"minnesota,mower"	"Republican"	7075	5.46651358265209e-05
"minnesota,murray"	"Republican"	2320	1.79255286385199e-05
"minnesota,nicollet"	"Republican"	7968	6.15649190481581e-05
"minnesota,nobles"	"Republican"	4368	3.37494435745927e-05
"minnesota,norman"	"Republican"	1204	9.30273124171466e-06
"minnesota,olmsted"	"Republican"	36202	0.00027971551197056
"minnesota,otter tail"	"Republican"	18077	0.000139672319482123
"minnesota,pennington"	"Republican"	3248	2.50957400939279e-05
"minnesota,pine"	"Republican"	6862	5.30193868610016e-05
"minnesota,pipestone"	"Republican"	2652	2.04907335988599e-05
"minnesota,polk"	"Republican"	7148	5.52291718569571e-05
"minnesota,pope"	"Republican"	3069	2.37126928412145e-05
"minnesota,ramsey"	"Republican"	88942	0.000687212227658293
"minnesota,red lake"	"Republican"	983	7.59517010847634e-06
"minnesota,redwood"	"Republican"	4308	3.32858523167e-05
"minnesota,renville"	"Republican"	3956	3.05661169370624e-05
"minnesota,rice"	"Republican"	13723	0.000106031047201038
"minnesota,rock"	"Republican"	2775	2.144109567754e-05
"minnesota,roseau"	"Republican"	4438	3.42903000421343e-05
"minnesota,scott"	"Republican"	36724	0.000283748755914227
"minnesota,sherburne"	"Republican"	26140	0.000201971258021945
"minnesota,sibley"	"Republican"	4492	3.47075321742377e-05
"minnesota,st louis"	"Republican"	38742	0.000299340875221353
"minnesota,stearns"	"Republican"	41194	0.000318286304627237
"minnesota,steele"	"Republican"	10068	7.77906130744046e-05
"minnesota,stevens"	"Republican"	2710	2.09388718148229e-05
"minnesota,swift"	"Republican"	2184	1.68747217872964e-05
"minnesota,todd"	"Republican"	6637	5.12809196439038e-05
"minnesota,traverse"	"Republican"	933	7.20884406023237e-06
"minnesota,wabasha"	"Republican"	5935	4.58569019265586e-05
"minnesota,wadena"	"Republican"	4128	3.18950785430217e-05
"minnesota,waseca"	"Republican"	5211	4.0262900747986e-05
"minnesota,washington"	"Republican"	64334	0.000497077999754544
"minnesota,watonwan"	"Republican"	2526	1.95171919572851e-05
"minnesota,wilkin"	"Republican"	1786	1.37995664432744e-05
"minnesota,winona"	"Republican"	10975	8.47985675895501e-05
"minnesota,wright"	"Republican"	37779	0.000291900235532174
"minnesota,yellow medicine"	"Republican"	2579	1.99266975684237e-05
"mississippi,adams"	"Republican"	6566	5.07323366553974e-05
"mississippi,alcorn"	"Republican"	10805	8.34850590255207e-05
"mississippi,amite"	"Republican"	4245	3.27990814959126e-05
"mississippi,attala"	"Republican"	5273	4.07419450478085e-05
"mississippi,benton"	"Republican"	2329	1.79950673272039e-05
"mississippi,bolivar"	"Republican"	4891	3.77904140392246e-05
"mississippi,calhoun"	"Republican"	4467	3.45143691501158e-05
"mississippi,carroll"	"Republican"	3902	3.0148884804959e-05
"mississippi,chickasaw"	"Republican"	4395	3.39580596406445e-05
"mississippi,choctaw"	"Republican"	2624	2.02743910118432e-05
"mississippi,claiborne"	"Republican"	748	5.7794376817297e-06
"mississippi,clarke"	"Republican"	5229	4.04019781253538e-05
"mississippi,clay"	"Republican"	4466	3.45066426291509e-05
"mississippi,coahoma"	"Republican"	2917	2.25382616545529e-05
"mississippi,copiah"	"Republican"	6701	5.17754169856561e-05
"mississippi,covington"	"Republican"	5523	4.26735752890283e-05
"mississippi,de soto"	"Republican"	44222	0.000341682210108892
"mississippi,forrest"	"Republican"	15296	0.000118184864678794
"mississippi,franklin"	"Republican"	2909	2.24764494868338e-05
"mississippi,george"	"Republican"	7700	5.94942114295705e-05
"mississippi,greene"	"Republican"	4361	3.36953579278386e-05
"mississippi,grenada"	"Republican"	6234	4.81671316950575e-05
"mississippi,hancock"	"Republican"	13020	0.000100599302962728
"mississippi,harrison"	"Republican"	38757	0.000299456773035826
"mississippi,hinds"	"Republican"	32949	0.000254581139271808
"mississippi,holmes"	"Republican"	1714	1.32432569338031e-05
"mississippi,humphreys"	"Republican"	1462	1.12961736506535e-05
"mississippi,issaquena"	"Republican"	364	2.81245363121606e-06
"mississippi,itawamba"	"Republican"	7663	5.920833015387e-05
"mississippi,jackson"	"Republican"	35993	0.0002781006690889
"mississippi,jasper"	"Republican"	4135	3.19491641897758e-05
"mississippi,jefferson"	"Republican"	551	4.25731305164849e-06
"mississippi,jefferson davis"	"Republican"	2871	2.21828416901684e-05
"mississippi,jones"	"Republican"	20157	0.000155743483089072
"mississippi,kemper"	"Republican"	1935	1.49508180670414e-05
"mississippi,lafayette"	"Republican"	10278	7.94131824770293e-05
"mississippi,lamar"	"Republican"	18497	0.000142917458287372
"mississippi,lauderdale"	"Republican"	19582	0.000151300733534266
"mississippi,lawrence"	"Republican"	4369	3.37571700955576e-05
"mississippi,leake"	"Republican"	5148	3.97761299271986e-05
"mississippi,lee"	"Republican"	22694	0.00017534566677697
"mississippi,leflore"	"Republican"	4105	3.17173685608295e-05
"mississippi,lincoln"	"Republican"	10781	8.32996225223636e-05
"mississippi,lowndes"	"Republican"	13994	0.000108124934382521
"mississippi,madison"	"Republican"	27203	0.000210184549807611
"mississippi,marion"	"Republican"	8513	6.57758729740173e-05
"mississippi,marshall"	"Republican"	6683	5.16363396082883e-05
"mississippi,monroe"	"Republican"	10184	7.86868895063306e-05
"mississippi,montgomery"	"Republican"	3071	2.37281458831443e-05
"mississippi,neshoba"	"Republican"	8209	6.3427010600694e-05
"mississippi,newton"	"Republican"	6579	5.08327814279408e-05
"mississippi,noxubee"	"Republican"	1525	1.17829444714409e-05
"mississippi,oktibbeha"	"Republican"	9320	7.20111753926749e-05
"mississippi,panola"	"Republican"	7620	5.88760897523801e-05
"mississippi,pearl river"	"Republican"	17881	0.000138157921373006
"mississippi,perry"	"Republican"	4067	3.1423760764164e-05
"mississippi,pike"	"Republican"	8651	6.68421328671707e-05
"mississippi,pontotoc"	"Republican"	9727	7.51558694253808e-05
"mississippi,prentiss"	"Republican"	7703	5.95173909924651e-05
"mississippi,quitman"	"Republican"	1334	1.0307178967149e-05
"mississippi,rankin"	"Republican"	48140	0.000371954719249289
"mississippi,scott"	"Republican"	6584	5.08714140327652e-05
"mississippi,sharkey"	"Republican"	873	6.74525280233962e-06
"mississippi,simpson"	"Republican"	7641	5.90383466926426e-05
"mississippi,smith"	"Republican"	6265	4.84066538449687e-05
"mississippi,stone"	"Republican"	5149	3.97838564481634e-05
"mississippi,sunflower"	"Republican"	3245	2.50725605310333e-05
"mississippi,tallahatchie"	"Republican"	2786	2.15260874081537e-05
"mississippi,tate"	"Republican"	7678	5.93242279683431e-05
"mississippi,tippah"	"Republican"	6937	5.35988759333676e-05
"mississippi,tishomingo"	"Republican"	6249	4.82830295095306e-05
"mississippi,tunica"	"Republican"	1017	7.85787182128223e-06
"mississippi,union"	"Republican"	9072	7.00949981933849e-05
"mississippi,walthall"	"Republican"	4253	3.28608936636316e-05
"mississippi,warren"	"Republican"	11152	8.61661618003338e-05
"mississippi,washington"	"Republican"	6347	4.90402285640888e-05
"mississippi,wayne"	"Republican"	6070	4.68999822568173e-05
"mississippi,webster"	"Republican"	4072	3.14623933689884e-05
"mississippi,wilkinson"	"Republican"	1560	1.20533727052117e-05
"mississippi,winston"	"Republican"	5497	4.24726857439414e-05
"mississippi,yalobusha"	"Republican"	3628	2.8031818060582e-05
"mississippi,yazoo"	"Republican"	5290	4.08732959042114e-05
"missouri,andrew"	"Republican"	5279	4.07883041735977e-05
"missouri,atchison"	"Republican"	1936	1.49585445880063e-05
"missouri,audrain"	"Republican"	6167	4.76494547904105e-05
"missouri,barry"	"Republican"	9758	7.5395391575292e-05
"missouri,barton"	"Republican"	4414	3.41048635389772e-05
"missouri,bates"	"Republican"	4833	3.73422758232616e-05
"missouri,benton"	"Republican"	5759	4.44970342367398e-05
"missouri,bollinger"	"Republican"	3972	3.06897412725005e-05
"missouri,boone"	"Republican"	36849	0.000284714571034837
"missouri,buchanan"	"Republican"	19110	0.000147653815638843
"missouri,butler"	"Republican"	11805	9.12115799904e-05
"missouri,caldwell"	"Republican"	2654	2.05061866407896e-05
"missouri,callaway"	"Republican"	11389	8.79973472690102e-05
"missouri,camden"	"Republican"	14074	0.000108743056059711
"missouri,cape girardeau"	"Republican"	24768	0.00019137047125813
"missouri,carroll"	"Republican"	2955	2.28318694512183e-05
"missouri,carter"	"Republican"	1840	1.42167985753779e-05
"missouri,cass"	"Republican"	29695	0.00022943904005209
"missouri,cedar"	"Republican"	4194	3.24050289267037e-05
"missouri,chariton"	"Republican"	2339	1.80723325368526e-05
"missouri,christian"	"Republican"	25382	0.000196114555130566
"missouri,clark"	"Republican"	1782	1.37686603594149e-05
"missouri,clay"	"Republican"	54516	0.000421219016921359
"missouri,clinton"	"Republican"	5709	4.41107081884958e-05
"missouri,cole"	"Republican"	24385	0.000188411213728581
"missouri,cooper"	"Republican"	4902	3.78754057698383e-05
"missouri,crawford"	"Republican"	6007	4.64132114360299e-05
"missouri,dade"	"Republican"	2864	2.21287560434143e-05
"missouri,dallas"	"Republican"	4895	3.78213201230841e-05
"missouri,daviess"	"Republican"	2263	1.74851169435218e-05
"missouri,de kalb"	"Republican"	2889	2.23219190675363e-05
"missouri,dent"	"Republican"	4655	3.59669550915131e-05
"missouri,douglas"	"Republican"	4405	3.40353248502932e-05
"missouri,dunklin"	"Republican"	7044	5.44256136766097e-05
"missouri,franklin"	"Republican"	27355	0.000211358980994273
"missouri,gasconade"	"Republican"	4763	3.680141935572e-05
"missouri,gentry"	"Republican"	1964	1.51748871750229e-05
"missouri,greene"	"Republican"	77683	0.000600219328114717
"missouri,grundy"	"Republican"	3006	2.32259220204271e-05
"missouri,harrison"	"Republican"	2512	1.94090206637768e-05
"missouri,henry"	"Republican"	6095	4.70931452809392e-05
"missouri,hickory"	"Republican"	2850	2.2020584749906e-05
"missouri,holt"	"Republican"	1794	1.38613786109934e-05
"missouri,howard"	"Republican"	2708	2.09234187728931e-05
"missouri,howell"	"Republican"	10982	8.48526532363043e-05
"missouri,iron"	"Republican"	2090	1.61484288165977e-05
"missouri,jackson"	"Republican"	92833	0.000717276120732639
"missouri,jasper"	"Republican"	31667	0.000244675739394832
"missouri,jefferson"	"Republican"	50804	0.000392538171099727
"missouri,johnson"	"Republican"	12183	9.41322049151243e-05
"missouri,knox"	"Republican"	1212	9.3645434094337e-06
"missouri,laclede"	"Republican"	10875	8.40259154930622e-05
"missouri,lafayette"	"Republican"	9442	7.29538109503902e-05
"missouri,lawrence"	"Republican"	11263	8.70238056274354e-05
"missouri,lewis"	"Republican"	2594	2.00425953828969e-05
"missouri,lincoln"	"Republican"	12924	9.98575569501e-05
"missouri,linn"	"Republican"	3140	2.4261275829721e-05
"missouri,livingston"	"Republican"	3993	3.0851998212763e-05
"missouri,macon"	"Republican"	4586	3.54338251449364e-05
"missouri,madison"	"Republican"	2897	2.23837312352553e-05
"missouri,maries"	"Republican"	2853	2.20437643128006e-05
"missouri,marion"	"Republican"	7705	5.95328440343949e-05
"missouri,mcdonald"	"Republican"	5499	4.24881387858712e-05
"missouri,mercer"	"Republican"	1169	9.03230300794388e-06
"missouri,miller"	"Republican"	7797	6.02436839631638e-05
"missouri,mississippi"	"Republican"	3034	2.34422646074437e-05
"missouri,moniteau"	"Republican"	4467	3.45143691501158e-05
"missouri,monroe"	"Republican"	2533	1.95712776040392e-05
"missouri,montgomery"	"Republican"	3428	2.64865138676062e-05
"missouri,morgan"	"Republican"	5451	4.2117265779557e-05
"missouri,new madrid"	"Republican"	4593	3.54879107916906e-05
"missouri,newton"	"Republican"	17637	0.000136272650257576
"missouri,nodaway"	"Republican"	5568	4.30212687324479e-05
"missouri,oregon"	"Republican"	2652	2.04907335988599e-05
"missouri,osage"	"Republican"	5062	3.91116491242189e-05
"missouri,ozark"	"Republican"	2918	2.25459881755178e-05
"missouri,pemiscot"	"Republican"	3954	3.05506638951327e-05
"missouri,perry"	"Republican"	5527	4.27044813728878e-05
"missouri,pettis"	"Republican"	11018	8.513080799104e-05
"missouri,phelps"	"Republican"	11706	9.04466544148769e-05
"missouri,pike"	"Republican"	4268	3.29767914781048e-05
"missouri,platte"	"Republican"	24460	0.000188990702800947
"missouri,polk"	"Republican"	8956	6.91987217614589e-05
"missouri,pulaski"	"Republican"	9552	7.3803728256527e-05
"missouri,putnam"	"Republican"	1591	1.22928948551229e-05
"missouri,ralls"	"Republican"	2987	2.30791181220944e-05
"missouri,randolph"	"Republican"	6457	4.98901458702255e-05
"missouri,ray"	"Republican"	5593	4.32144317565698e-05
"missouri,reynolds"	"Republican"	1782	1.37686603594149e-05
"missouri,ripley"	"Republican"	3407	2.63242569273437e-05
"missouri,saline"	"Republican"	4962	3.8338997027731e-05
"missouri,schuyler"	"Republican"	1139	8.8005073789975e-06
"missouri,scotland"	"Republican"	1249	9.65042468513423e-06
"missouri,scott"	"Republican"	11563	8.93417619168992e-05
"missouri,shannon"	"Republican"	2075	1.60325310021245e-05
"missouri,shelby"	"Republican"	2166	1.67356444099285e-05
"missouri,st charles"	"Republican"	102550	0.00079235472494837
"missouri,st clair"	"Republican"	2981	2.30327589963051e-05
"missouri,st francois"	"Republican"	12660	9.78177554153717e-05
"missouri,st louis city"	"Republican"	24662	0.000190551460035853
"missouri,st louis"	"Republican"	221705	0.00171300833051856
"missouri,ste genevieve"	"Republican"	3732	2.88353762409295e-05
"missouri,stoddard"	"Republican"	9172	7.08676502898728e-05
"missouri,stone"	"Republican"	11147	8.61275291955094e-05
"missouri,sullivan"	"Republican"	1607	1.2416519190561e-05
"missouri,taney"	"Republican"	14736	0.000113858012938461
"missouri,texas"	"Republican"	7215	5.5746848761604e-05
"missouri,vernon"	"Republican"	5334	4.12132628266661e-05
"missouri,warren"	"Republican"	8675	6.70275693703278e-05
"missouri,washington"	"Republican"	4706	3.63610076607219e-05
"missouri,wayne"	"Republican"	3784	2.92371553311032e-05
"missouri,webster"	"Republican"	10431	8.05953401846558e-05
"missouri,worth"	"Republican"	707	5.46265032216965e-06
"missouri,wright"	"Republican"	5784	4.46901972608618e-05
"montana,beaverhead"	"Republican"	3008	2.32413750623569e-05
"montana,big horn"	"Republican"	1628	1.25787761308235e-05
"montana,blaine"	"Republican"	1139	8.8005073789975e-06
"montana,broadwater"	"Republican"	756	5.84124984944874e-06
"montana,carbon"	"Republican"	3108	2.40140271588448e-05
"montana,carter"	"Republican"	573	4.42729651287583e-06
"montana,cascade"	"Republican"	16857	0.00013024596390497
"montana,chouteau"	"Republican"	1634	1.26251352566128e-05
"montana,custer"	"Republican"	3047	2.35427093799872e-05
"montana,daniels"	"Republican"	694	5.36220554962622e-06
"montana,dawson"	"Republican"	2639	2.03902888263164e-05
"montana,deer lodge"	"Republican"	1502	1.16052344892487e-05
"montana,fallon"	"Republican"	1064	8.22101830663156e-06
"montana,fergus"	"Republican"	4108	3.17405481237241e-05
"montana,flathead"	"Republican"	25559	0.00019748214934135
"montana,gallatin"	"Republican"	22578	0.000174449390345044
"montana,garfield"	"Republican"	598	4.62045953699781e-06
"montana,glacier"	"Republican"	1451	1.12111819200398e-05
"montana,golden valley"	"Republican"	343	2.65019669095359e-06
"montana,granite"	"Republican"	1013	7.82696573742272e-06
"montana,hill"	"Republican"	2787	2.15338139291186e-05
"montana,jefferson"	"Republican"	3538	2.73364311737429e-05
"montana,judith basin"	"Republican"	801	6.18894329286831e-06
"montana,lake"	"Republican"	6498	5.02069332297856e-05
"montana,lewis and clark"	"Republican"	14966	0.000115635112760383
"montana,liberty"	"Republican"	594	4.58955345313829e-06
"montana,lincoln"	"Republican"	5704	4.40720755836714e-05
"montana,madison"	"Republican"	2822	2.18042421628893e-05
"montana,mccone"	"Republican"	726	5.60945422050236e-06
"montana,meagher"	"Republican"	624	4.82134908208467e-06
"montana,mineral"	"Republican"	1053	8.13602657601789e-06
"montana,missoula"	"Republican"	20743	0.000160271224374491
"montana,musselshell"	"Republican"	1581	1.22156296454741e-05
"montana,park"	"Republican"	4376	3.38112557423117e-05
"montana,petroleum"	"Republican"	227	1.7539202590276e-06
"montana,phillips"	"Republican"	1423	1.09948393330232e-05
"montana,pondera"	"Republican"	1588	1.22697152922283e-05
"montana,powder river"	"Republican"	802	6.19666981383319e-06
"montana,powell"	"Republican"	1683	1.30037347838918e-05
"montana,prairie"	"Republican"	503	3.88644004533428e-06
"montana,ravalli"	"Republican"	13002	0.00010046022558536
"montana,richland"	"Republican"	3184	2.46012427521756e-05
"montana,roosevelt"	"Republican"	1473	1.13811653812672e-05
"montana,rosebud"	"Republican"	1768	1.36604890659066e-05
"montana,sanders"	"Republican"	3563	2.75295941978649e-05
"montana,sheridan"	"Republican"	987	7.62607619233585e-06
"montana,silver bow"	"Republican"	4818	3.72263780087884e-05
"montana,stillwater"	"Republican"	2991	2.31100242059539e-05
"montana,sweet grass"	"Republican"	1494	1.15434223215297e-05
"montana,teton"	"Republican"	1874	1.44795002881838e-05
"montana,toole"	"Republican"	1317	1.0175828110746e-05
"montana,treasure"	"Republican"	314	2.4261275829721e-06
"montana,valley"	"Republican"	2121	1.6387950966509e-05
"montana,wheatland"	"Republican"	657	5.07632427392569e-06
"montana,wibaux"	"Republican"	379	2.92835144568925e-06
"montana,yellowstone"	"Republican"	36483	0.000281886664361691
"nebraska,adams"	"Republican"	8252	6.37592510021839e-05
"nebraska,antelope"	"Republican"	2383	1.84122994593073e-05
"nebraska,arthur"	"Republican"	217	1.6766550493788e-06
"nebraska,banner"	"Republican"	348	2.68882929577799e-06
"nebraska,blaine"	"Republican"	266	2.05525457665789e-06
"nebraska,boone"	"Republican"	2042	1.57775558102835e-05
"nebraska,box butte"	"Republican"	2932	2.26541594690261e-05
"nebraska,boyd"	"Republican"	839	6.48255108953372e-06
"nebraska,brown"	"Republican"	1208	9.33363732557418e-06
"nebraska,buffalo"	"Republican"	13097	0.000101194245077024
"nebraska,burt"	"Republican"	1907	1.47344754800248e-05
"nebraska,butler"	"Republican"	2557	1.97567141071963e-05
"nebraska,cass"	"Republican"	7120	5.50128292699405e-05
"nebraska,cedar"	"Republican"	2912	2.24996290497285e-05
"nebraska,chase"	"Republican"	1477	1.14120714651267e-05
"nebraska,cherry"	"Republican"	2360	1.82345894771151e-05
"nebraska,cheyenne"	"Republican"	3572	2.75991328865488e-05
"nebraska,clay"	"Republican"	2177	1.68206361405422e-05
"nebraska,colfax"	"Republican"	2018	1.55921193071264e-05
"nebraska,cuming"	"Republican"	2732	2.11088552760502e-05
"nebraska,custer"	"Republican"	4301	3.32317666699458e-05
"nebraska,dakota"	"Republican"	3292	2.54357070163826e-05
"nebraska,dawes"	"Republican"	2376	1.83582138125532e-05
"nebraska,dawson"	"Republican"	5460	4.21868044682409e-05
"nebraska,deuel"	"Republican"	732	5.65581334629164e-06
"nebraska,dixon"	"Republican"	1785	1.37918399223095e-05
"nebraska,dodge"	"Republican"	8557	6.6115839896472e-05
