"county"	"party"	"votes"	"p"
"arkansas,greene"	"Republican"	8578	6.62780968367345e-05
"arkansas,hempstead"	"Republican"	4273	3.30154240829292e-05
"arkansas,hot spring"	"Republican"	7209	5.57004896358148e-05
"arkansas,howard"	"Republican"	2957	2.2847322493148e-05
"arkansas,independence"	"Republican"	8255	6.37824305650785e-05
"arkansas,izard"	"Republican"	3193	2.46707814408596e-05
"arkansas,jackson"	"Republican"	3118	2.40912923684936e-05
"arkansas,jefferson"	"Republican"	10655	8.23260808807888e-05
"arkansas,johnson"	"Republican"	4922	3.80299361891358e-05
"arkansas,lafayette"	"Republican"	1685	1.30191878258216e-05
"arkansas,lawrence"	"Republican"	3357	2.59379308790998e-05
"arkansas,lee"	"Republican"	1454	1.12343614829345e-05
"arkansas,lincoln"	"Republican"	2513	1.94167471847416e-05
"arkansas,little river"	"Republican"	3247	2.5088013572963e-05
"arkansas,logan"	"Republican"	5350	4.13368871621042e-05
"arkansas,lonoke"	"Republican"	17242	0.000133220674476449
"arkansas,madison"	"Republican"	3972	3.06897412725005e-05
"arkansas,marion"	"Republican"	4524	3.49547808451139e-05
"arkansas,miller"	"Republican"	9913	7.65930023248484e-05
"arkansas,mississippi"	"Republican"	6976	5.39002102509979e-05
"arkansas,monroe"	"Republican"	1754	1.35523177723983e-05
"arkansas,montgomery"	"Republican"	2365	1.82732220819395e-05
"arkansas,nevada"	"Republican"	2062	1.59320862295811e-05
"arkansas,newton"	"Republican"	2588	1.99962362571076e-05
"arkansas,ouachita"	"Republican"	5427	4.19318292763999e-05
"arkansas,perry"	"Republican"	2743	2.11938470066639e-05
"arkansas,phillips"	"Republican"	3097	2.39290354282311e-05
"arkansas,pike"	"Republican"	2727	2.10702226712258e-05
"arkansas,poinsett"	"Republican"	4903	3.78831322908031e-05
"arkansas,polk"	"Republican"	5473	4.22872492407843e-05
"arkansas,pope"	"Republican"	15568	0.000120286478381241
"arkansas,prairie"	"Republican"	2223	1.71760561049266e-05
"arkansas,pulaski"	"Republican"	70212	0.000542494489986104
"arkansas,randolph"	"Republican"	3615	2.79313732880386e-05
"arkansas,saline"	"Republican"	30981	0.000239375346012925
"arkansas,scott"	"Republican"	2791	2.15647200129781e-05
"arkansas,searcy"	"Republican"	2726	2.10624961502609e-05
"arkansas,sebastian"	"Republican"	28637	0.000221264380871248
"arkansas,sevier"	"Republican"	3125	2.41453780152478e-05
"arkansas,sharp"	"Republican"	4535	3.50397725757276e-05
"arkansas,st francis"	"Republican"	3917	3.02647826194322e-05
"arkansas,stone"	"Republican"	3534	2.73055250898834e-05
"arkansas,union"	"Republican"	10677	8.24960643420161e-05
"arkansas,van buren"	"Republican"	4276	3.30386036458238e-05
"arkansas,washington"	"Republican"	37963	0.000293321915389712
"arkansas,white"	"Republican"	19467	0.000150412183623305
"arkansas,woodruff"	"Republican"	1206	9.31818428364442e-06
"arkansas,yell"	"Republican"	3808	2.94225918342603e-05
"california,alameda"	"Republican"	119555	0.000923744213956143
"california,alpine"	"Republican"	252	1.94708328314958e-06
"california,amador"	"Republican"	10561	8.15997879100901e-05
"california,butte"	"Republican"	46706	0.000360874888185652
"california,calaveras"	"Republican"	12835	9.91698965842256e-05
"california,colusa"	"Republican"	3733	2.88431027618944e-05
"california,contra costa"	"Republican"	136436	0.00105417561436427
"california,del norte"	"Republican"	4967	3.83776296325554e-05
"california,el dorado"	"Republican"	50314	0.000388752175826936
"california,fresno"	"Republican"	131015	0.00101229014421366
"california,glenn"	"Republican"	5910	4.56637389024366e-05
"california,humboldt"	"Republican"	21713	0.000167765949710424
"california,imperial"	"Republican"	14008	0.000108233105676029
"california,inyo"	"Republican"	4523	3.4947054324149e-05
"california,kern"	"Republican"	134793	0.00104148094041897
"california,kings"	"Republican"	19710	0.000152289728217771
"california,lake"	"Republican"	9935	7.67629857860757e-05
"california,lassen"	"Republican"	7483	5.78175563801917e-05
"california,los angeles"	"Republican"	956425	0.00738983781383467
"california,madera"	"Republican"	23583	0.000182214543914748
"california,marin"	"Republican"	28384	0.000219309571067134
"california,mariposa"	"Republican"	5298	4.09351080719304e-05
"california,mendocino"	"Republican"	10721	8.28360312644708e-05
"california,merced"	"Republican"	28704	0.000221782057775895
"california,modoc"	"Republican"	2981	2.30327589963051e-05
"california,mono"	"Republican"	2354	1.81882303513258e-05
"california,monterey"	"Republican"	38797	0.000299765833874422
"california,napa"	"Republican"	19484	0.000150543534479708
"california,nevada"	"Republican"	25663	0.000198285707521697
"california,orange"	"Republican"	579064	0.00447415013600686
"california,placer"	"Republican"	94647	0.00073129202976293
"california,plumas"	"Republican"	6035	4.66295540230465e-05
"california,riverside"	"Republican"	310041	0.00239553828647214
"california,sacramento"	"Republican"	213583	0.00165025352724181
"california,san benito"	"Republican"	7425	5.73694181642287e-05
"california,san bernardino"	"Republican"	277408	0.00214339872782523
"california,san diego"	"Republican"	541032	0.00418029509067057
"california,san francisco"	"Republican"	52292	0.000404035234295468
"california,san joaquin"	"Republican"	91607	0.000707803406029697
"california,san luis obispo"	"Republican"	61055	0.000471742737510705
"california,san mateo"	"Republican"	75057	0.000579929484060944
"california,santa barbara"	"Republican"	65585	0.000506743877481608
"california,santa clara"	"Republican"	190039	0.00146834031764469
"california,santa cruz"	"Republican"	25244	0.000195048295237413
"california,shasta"	"Republican"	49588	0.000383142721606434
"california,sierra"	"Republican"	1158	8.94731127733021e-06
"california,siskiyou"	"Republican"	11520	8.90095215154093e-05
"california,solano"	"Republican"	56035	0.000432955602267011
"california,sonoma"	"Republican"	55127	0.0004259399212309
"california,stanislaus"	"Republican"	77497	0.00059878219521525
"california,sutter"	"Republican"	18911	0.000146116237966832
"california,tehama"	"Republican"	14843	0.000114684750681703
"california,trinity"	"Republican"	2940	2.27159716367451e-05
"california,tulare"	"Republican"	59765	0.00046177552546601
"california,tuolumne"	"Republican"	14988	0.000115805096221611
"california,ventura"	"Republican"	145853	0.00112693626229054
"california,yolo"	"Republican"	24592	0.000190010603568311
"california,yuba"	"Republican"	12007	9.27723372253056e-05
"colorado,adams"	"Republican"	63976	0.000494311905249117
"colorado,alamosa"	"Republican"	2635	2.03593827424569e-05
"colorado,arapahoe"	"Republican"	113868	0.000879803489228874
"colorado,archuleta"	"Republican"	3638	2.81090832702308e-05
"colorado,baca"	"Republican"	1572	1.21460909567902e-05
"colorado,bent"	"Republican"	1077	8.32146307917499e-06
"colorado,boulder"	"Republican"	44904	0.000346951697406939
"colorado,chaffee"	"Republican"	4873	3.76513366618568e-05
"colorado,cheyenne"	"Republican"	890	6.87660365874256e-06
"colorado,clear creek"	"Republican"	2300	1.77709982192224e-05
"colorado,conejos"	"Republican"	1653	1.27719391549455e-05
"colorado,costilla"	"Republican"	415	3.2065062004249e-06
"colorado,crowley"	"Republican"	976	7.54108446172218e-06
"colorado,custer"	"Republican"	1672	1.29187430532782e-05
"colorado,delta"	"Republican"	10067	7.77828865534398e-05
"colorado,denver"	"Republican"	62567	0.000483425237209602
"colorado,dolores"	"Republican"	818	6.32029414927125e-06
"colorado,douglas"	"Republican"	88108	0.000680768309173584
"colorado,eagle"	"Republican"	8181	6.32106680136774e-05
"colorado,el paso"	"Republican"	160318	0.00123870038804752
"colorado,elbert"	"Republican"	9108	7.03731529481205e-05
"colorado,fremont"	"Republican"	12668	9.78795675830908e-05
"colorado,garfield"	"Republican"	11359	8.77655516400638e-05
"colorado,gilpin"	"Republican"	1283	9.91312639794012e-06
"colorado,grand"	"Republican"	4128	3.18950785430217e-05
"colorado,gunnison"	"Republican"	3131	2.4191737141037e-05
"colorado,hinsdale"	"Republican"	344	2.65792321191847e-06
"colorado,huerfano"	"Republican"	1580	1.22079031245093e-05
"colorado,jackson"	"Republican"	624	4.82134908208467e-06
"colorado,jefferson"	"Republican"	131628	0.00101702650156513
"colorado,kiowa"	"Republican"	650	5.02223862717153e-06
"colorado,kit carson"	"Republican"	2455	1.89686089687786e-05
"colorado,la plata"	"Republican"	11503	8.88781706590064e-05
"colorado,lake"	"Republican"	1078	8.32918960013987e-06
"colorado,larimer"	"Republican"	73642	0.00056899645689564
"colorado,las animas"	"Republican"	3086	2.38440436976175e-05
"colorado,lincoln"	"Republican"	1717	1.32664364966977e-05
"colorado,logan"	"Republican"	6002	4.63745788312055e-05
"colorado,mesa"	"Republican"	44578	0.000344432851572389
"colorado,mineral"	"Republican"	334	2.58065800226968e-06
"colorado,moffat"	"Republican"	4135	3.19491641897758e-05
"colorado,montezuma"	"Republican"	6961	5.37843124365247e-05
"colorado,montrose"	"Republican"	12199	9.42558292505624e-05
"colorado,morgan"	"Republican"	6272	4.84607394917229e-05
"colorado,otero"	"Republican"	4393	3.39426065987147e-05
"colorado,ouray"	"Republican"	1367	1.056215415899e-05
"colorado,park"	"Republican"	4896	3.7829046644049e-05
"colorado,phillips"	"Republican"	1613	1.24628783163503e-05
"colorado,pitkin"	"Republican"	2484	1.91926780767601e-05
"colorado,prowers"	"Republican"	3043	2.35118032961277e-05
"colorado,pueblo"	"Republican"	30257	0.000233781344834352
"colorado,rio blanco"	"Republican"	2437	1.88295315914108e-05
"colorado,rio grande"	"Republican"	2930	2.26387064270963e-05
"colorado,routt"	"Republican"	4725	3.65078115590546e-05
"colorado,saguache"	"Republican"	956	7.3865540424246e-06
"colorado,san juan"	"Republican"	218	1.68438157034368e-06
"colorado,san miguel"	"Republican"	933	7.20884406023237e-06
"colorado,sedgwick"	"Republican"	857	6.62162846690155e-06
"colorado,summit"	"Republican"	4883	3.77286018715055e-05
"colorado,teller"	"Republican"	8146	6.29402397799067e-05
"colorado,washington"	"Republican"	1949	1.50589893605497e-05
"colorado,weld"	"Republican"	56526	0.000436749324060766
"colorado,yuma"	"Republican"	3286	2.53893478905933e-05
"connecticut,fairfield"	"Republican"	167736	0.00129601572056499
"connecticut,hartford"	"Republican"	138984	0.00107386278978278
"connecticut,litchfield"	"Republican"	46173	0.000356756652511371
"connecticut,middlesex"	"Republican"	32918	0.000254341617121896
"connecticut,new haven"	"Republican"	144650	0.00111764125756979
"connecticut,new london"	"Republican"	48491	0.000374666728107961
"connecticut,tolland"	"Republican"	29266	0.000226124362558157
"connecticut,windham"	"Republican"	21210	0.00016387950966509
"delaware,kent"	"Republican"	29827	0.000230458940819454
